ID	Cliente_ID	Descrição	Valor	Data_Pedido
1	76	Compra de biscoitos	727,78	2023-06-08
2	291	Compra de chocolates	618,16	2023-08-20
3	191	Compra de biscoitos	793,06	2023-11-23
4	34	Compra de energéticos	374,36	2023-06-25
5	116	Compra de produtos diversos	215,73	2023-07-13
6	43	Compra de balas	477,83	2023-04-08
7	159	Compra de balas	601,03	2023-07-08
8	175	Compra de doces	238,83	2023-05-07
9	65	Compra de refrigerantes	215	2023-12-10
10	121	Compra de águas	459,75	2023-08-23
11	62	Compra de doces	483,59	2023-01-08
12	263	Compra de salgados	301,71	2023-02-12
13	268	Compra de doces	562,55	2023-12-16
14	154	Compra de doces	485,13	2023-04-10
15	199	Compra de salgadinhos	314,91	2023-06-29
16	9	Compra de energéticos	675,65	2023-11-20
17	268	Compra de salgadinhos	265,16	2023-05-12
18	105	Compra de biscoitos	312,41	2023-11-04
19	260	Compra de águas	375,38	2023-11-05
20	100	Compra de salgadinhos	247,03	2023-09-01
21	131	Compra de biscoitos	757,88	2023-12-23
22	21	Compra de águas	318,85	2023-10-14
23	111	Compra de chocolates	466,41	2023-09-03
24	126	Compra de refrigerantes	531,31	2023-04-21
25	79	Compra de balas	499,2	2023-03-29
26	196	Compra de salgados	769,21	2023-10-09
27	302	Compra de biscoitos	690,47	2023-03-11
28	64	Compra de biscoitos	774,19	2023-02-22
29	78	Compra de doces	423	2023-07-13
30	250	Compra de salgadinhos	158,62	2023-11-02
31	224	Compra de chocolates	427,61	2023-03-08
32	75	Compra de águas	501,14	2023-12-07
33	163	Compra de produtos diversos	638,25	2023-07-07
34	295	Compra de doces	375,6	2023-10-21
35	238	Compra de águas	296,05	2023-06-04
36	157	Compra de salgadinhos	171,64	2023-09-27
37	251	Compra de doces	286,16	2023-03-10
38	217	Compra de doces	679,6	2023-09-25
39	248	Compra de produtos diversos	633,49	2023-02-23
40	185	Compra de salgados	737,35	2023-12-18
41	109	Compra de águas	1126,8	2024-10-20
42	159	Compra de refrigerantes	1144,9	2024-03-02
43	277	Compra de balas	364,09	2024-11-20
44	199	Compra de produtos diversos	784,07	2024-07-16
45	68	Compra de águas	1408,68	2024-08-26
46	155	Compra de biscoitos	1185,26	2024-07-01
47	204	Compra de chocolates	1042,05	2024-02-04
48	131	Compra de águas	1183,04	2024-08-16
49	291	Compra de biscoitos	902,61	2024-12-13
50	35	Compra de águas	1240,03	2024-02-16
51	254	Compra de refrigerantes	657,63	2024-03-19
52	108	Compra de balas	825,39	2024-05-19
53	32	Compra de energéticos	946,97	2024-09-02
54	270	Compra de salgadinhos	777,35	2024-06-06
55	277	Compra de produtos diversos	1075,05	2024-03-23
56	229	Compra de doces	435,49	2024-12-15
57	32	Compra de produtos diversos	971,14	2024-06-06
58	28	Compra de salgados	1489,49	2024-03-10
59	281	Compra de águas	770,15	2024-11-29
60	57	Compra de doces	1339,05	2024-05-14
61	130	Compra de salgados	455	2024-06-06
62	202	Compra de energéticos	1244,76	2024-05-22
63	46	Compra de salgadinhos	1265,89	2024-07-15
64	202	Compra de salgadinhos	433,82	2024-05-05
65	156	Compra de doces	607,34	2024-03-13
66	288	Compra de doces	628,29	2024-07-14
67	183	Compra de refrigerantes	739,42	2024-12-06
68	282	Compra de produtos diversos	1421,77	2024-09-20
69	7	Compra de balas	1010,11	2024-12-28
70	139	Compra de energéticos	949,61	2024-09-02
71	30	Compra de salgados	1062,22	2024-11-26
72	297	Compra de salgadinhos	1484,97	2024-01-07
73	156	Compra de chocolates	877,74	2024-05-10
74	267	Compra de balas	1289,51	2024-02-02
75	312	Compra de doces	1052,67	2024-06-27
76	186	Compra de balas	1085,02	2024-06-03
77	289	Compra de produtos diversos	819,01	2024-07-28
